0 , 255 , 0 , 0
800 , 255 , 0 , 0
800.0001 , 170 , 0 , 0
1600 , 170 , 0 , 0
1600.0001 , 110 , 0 , 0
2350 , 110 , 0 , 0
2350.0001 , 112 , 1 , 2
3150 , 112 , 1 , 2
3150.0001 , 124 , 91 , 5
4000 , 124 , 91 , 5
4000.0001 , 240 , 190 , 64
4800 , 240 , 190 , 64
4800.0001 , 255 , 255 , 0
5600 , 255 , 255 , 0
5600.0001 , 0 , 220 , 0
6400 , 0 , 220 , 0
6400.0001 , 0 , 136 , 0
7200 , 0 , 136 , 0
7200.0001 , 0 , 80 , 0
8000 , 0 , 80 , 0
8000.0001 , 0 , 136 , 238
8800 , 0 , 136 , 238
8800.0001 , 0 , 0 , 255
9600 , 0 , 0 , 255
9600.0001 , 0 , 0 , 170
10400 , 0 , 0 , 170
10400.0001 , 0 , 0 , 100
11200 , 0 , 0 , 100
11200.0001 , 183 , 15 , 141
12000 , 183 , 15 , 141
12000.0001 , 102 , 0 , 119
18000 , 102 , 0 , 119
